0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
-105 , -11 , -11 , -105 , 
0 , -128 , -128 , 0 , 
38 , 99 , 99 , 38 , 
-90 , 81 , 81 , -90 , 
-13 , -114 , -114 , -13 , 
64 , 91 , 91 , 64 , 
0 , -128 , -128 , 0 , 
-19 , -19 , -19 , -19 , 
60 , -89 , 16 , -44 , 
-31 , 94 , 94 , -31 , 
18 , -76 , 38 , -96 , 
64 , -128 , 0 , -64 , 
-1 , -128 , 121 , 1 , 
25 , -90 , 25 , -90 , 
64 , -128 , 0 , -64 , 
-46 , -32 , -128 , 46 , 
42 , -15 , 100 , -72 , 
13 , -42 , 70 , -100 , 
4 , -95 , -23 , -63 , 
0 , -128 , -128 , 0 , 
-32 , 84 , 49 , 0 , 
0 , 0 , 90 , -90 , 
33 , -91 , 23 , -82 , 
-46 , -32 , -128 , 46 , 
0 , -128 , -128 , 0 , 
30 , -30 , 90 , -90 , 
-13 , -114 , -114 , -13 , 
-30 , 30 , -73 , 73 , 
61 , 2 , -128 , -61 , 
-10 , -61 , 33 , -107 , 
-64 , 0 , -128 , 64 , 
-6 , 64 , 25 , 30 , 
30 , -30 , 90 , -90 , 
14 , -112 , -55 , -40 , 
-64 , 0 , -128 , 64 , 
22 , -2 , 67 , -47 , 
5 , -52 , 67 , -113 , 
17 , -128 , -89 , -17 , 
-64 , 0 , -128 , 64 , 
51 , 21 , -128 , -51 , 
2 , -65 , 58 , -120 , 
-64 , 0 , -128 , 64 , 
-10 , 15 , -10 , 15 , 
40 , -15 , 98 , -72 , 
30 , -90 , 30 , -90 , 
-64 , 0 , -128 , 64 , 
38 , 49 , -128 , -38 , 
0 , -64 , 64 , -128 , 
0 , -128 , -128 , 0 , 
72 , 90 , 90 , 72 , 
12 , -43 , 52 , -82 , 
9 , -91 , -5 , -75 , 
-27 , 22 , -90 , 85 , 
61 , 0 , 126 , -64 , 
10 , -90 , 10 , -90 , 
-64 , 0 , -128 , 64 , 
56 , 14 , -128 , -56 , 
30 , -74 , 30 , -74 , 
-29 , -67 , -128 , 29 , 
64 , 0 , -128 , -64 , 
29 , -59 , 29 , -59 , 
-23 , -80 , -128 , 23 , 
64 , 0 , -128 , -64 , 
0 , -98 , -40 , -56 , 
-9 , 9 , -11 , 11 , 
64 , 0 , -128 , -64 , 
-14 , -90 , -20 , -83 , 
-39 , 19 , -86 , 64 , 
44 , 37 , -128 , -44 , 
19 , -76 , 36 , -93 , 
0 , -128 , -128 , 0 , 
0 , -128 , -128 , 0 , 
-5 , -46 , 30 , -83 , 
11 , -117 , -72 , -29 , 
23 , 106 , 106 , 23 , 
-90 , 90 , 90 , -90 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
-100 , 35 , 35 , -100 , 
-47 , -39 , 39 , -128 , 
64 , -128 , 0 , -64 , 
-50 , 50 , -50 , 50 , 
50 , -7 , 111 , -68 , 
39 , -99 , -82 , 23 , 
-64 , 0 , -128 , 64 , 
25 , -25 , 90 , -90 , 
-34 , -75 , -108 , -3 , 
24 , -82 , -82 , 24 , 
35 , -20 , 92 , -77 , 
-61 , -18 , -100 , 18 , 
22 , -125 , -81 , -18 , 
30 , -30 , 75 , -75 , 
-56 , -17 , -113 , 38 , 
8 , -8 , 8 , -8 , 
25 , -30 , 47 , -52 , 
-44 , -37 , -128 , 44 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
