0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
-100 , 32 , 32 , -100 , 
-43 , -96 , -96 , -43 , 
35 , -100 , -100 , 35 , 
-9 , 118 , 118 , -9 , 
-128 , 0 , 0 , -128 , 
0 , -128 , -128 , 0 , 
90 , -75 , -75 , 90 , 
0 , -128 , -128 , 0 , 
-126 , 1 , 1 , -126 , 
-69 , -90 , -90 , -69 , 
24 , -106 , -106 , 24 , 
90 , 90 , 90 , 90 , 
0 , 0 , 0 , 0 , 
-78 , -90 , -90 , -78 , 
0 , -128 , -128 , 0 , 
17 , 111 , 111 , 17 , 
-9 , 118 , 118 , -9 , 
-98 , -38 , -38 , -98 , 
0 , -128 , -128 , 0 , 
0 , -128 , -128 , 0 , 
116 , -11 , -11 , 116 , 
112 , 16 , 16 , 112 , 
77 , 0 , 0 , 77 , 
-29 , -29 , -29 , -29 , 
-40 , -98 , -98 , -40 , 
-9 , -117 , -117 , -9 , 
-4 , -121 , -121 , -4 , 
-4 , -121 , -121 , -4 , 
0 , -128 , -128 , 0 , 
-6 , 44 , 44 , -6 , 
-85 , 90 , 90 , -85 , 
-91 , 67 , 67 , -91 , 
-82 , -90 , -90 , -82 , 
21 , -107 , -107 , 21 , 
-128 , 0 , 0 , -128 , 
-128 , 0 , 0 , -128 , 
-128 , 0 , 0 , -128 , 
-128 , 0 , 0 , -128 , 
117 , 11 , 11 , 117 , 
38 , 98 , 98 , 38 , 
0 , -128 , -128 , 0 , 
-13 , 114 , 114 , -13 , 
-97 , 39 , 39 , -97 , 
-128 , 0 , 0 , -128 , 
3 , -123 , -123 , 3 , 
69 , -90 , -90 , 69 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
-38 , 38 , 38 , -38 , 
-90 , -81 , -81 , -90 , 
0 , -128 , -128 , 0 , 
37 , 39 , 39 , 37 , 
-53 , 93 , 93 , -53 , 
-90 , -90 , -90 , -90 , 
0 , -128 , -128 , 0 , 
50 , 50 , 50 , 50 , 
-49 , 94 , 94 , -49 , 
-69 , 90 , 90 , -69 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 
